Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,attempts,server correct,valid password,valid username
2,Test server,,2013/05/01 12:34:16.693,Variant 3,3,,true,,
2,Validate password,,2013/05/01 12:35:07.349,Variant 3,3,,,true,
2,EVENT 5 END,,2013/05/01 12:36:06.570,Variant 3,3,,,,
47,Start,,2013/05/06 08:34:29.975,Variant 3,3,,,,
47,Validate username,,2013/05/06 08:35:14.130,Variant 3,3,,,,true
47,Set attempts counter to 0,,2013/05/06 08:36:14.381,Variant 3,3,,,,
47,Validate password,,2013/05/06 08:38:33.631,Variant 3,3,,,false,
47,Increment attempts counter,,2013/05/06 08:39:45.761,Variant 3,3,1,,,
47,Test server,,2013/05/06 08:39:50.412,Variant 3,3,,true,,
47,Validate password,,2013/05/06 08:43:06.735,Variant 3,3,,,true,
47,EVENT 5 END,,2013/05/06 08:43:06.735,Variant 3,3,,,,
86,Start,,2013/05/09 08:26:04.699,Variant 1,1,,,,
86,Validate username,,2013/05/09 08:26:05.701,Variant 1,1,,,,true
86,Set attempts counter to 0,,2013/05/09 08:27:27.236,Variant 1,1,,,,
86,Validate password,,2013/05/09 08:27:59.601,Variant 1,1,,,true,
86,EVENT 5 END,,2013/05/09 08:27:59.601,Variant 1,1,,,,
21,Start,,2013/05/02 12:51:11.967,Variant 1,1,,,,
21,Validate username,,2013/05/02 12:51:27.194,Variant 1,1,,,,true
21,Set attempts counter to 0,,2013/05/02 12:51:30.798,Variant 1,1,,,,
21,Validate password,,2013/05/02 12:51:55.711,Variant 1,1,,,true,
21,EVENT 5 END,,2013/05/02 12:51:55.711,Variant 1,1,,,,
27,Start,,2013/05/03 08:28:48.354,Variant 3,3,,,,
27,Validate username,,2013/05/03 08:29:07.656,Variant 3,3,,,,true
27,Set attempts counter to 0,,2013/05/03 08:31:03.738,Variant 3,3,,,,
27,Validate password,,2013/05/03 08:31:16.233,Variant 3,3,,,false,
27,Increment attempts counter,,2013/05/03 08:31:39.869,Variant 3,3,1,,,
27,Test server,,2013/05/03 08:31:39.869,Variant 3,3,,true,,
27,Validate password,,2013/05/03 08:31:51.650,Variant 3,3,,,true,
27,EVENT 5 END,,2013/05/03 08:35:57.666,Variant 3,3,,,,
15,Start,,2013/05/02 09:40:35.139,Variant 7,7,,,,
15,Validate username,,2013/05/02 09:40:39.704,Variant 7,7,,,,true
15,Set attempts counter to 0,,2013/05/02 09:40:56.330,Variant 7,7,,,,
15,Validate password,,2013/05/02 09:41:25.778,Variant 7,7,,,false,
15,Increment attempts counter,,2013/05/02 09:41:38.776,Variant 7,7,1,,,
15,Test server,,2013/05/02 09:41:38.776,Variant 7,7,,false,,
15,Increment attempts counter,,2013/05/02 09:41:51.404,Variant 7,7,2,,,
15,Test server,,2013/05/02 09:41:51.404,Variant 7,7,,true,,
15,Validate password,,2013/05/02 09:43:16.867,Variant 7,7,,,true,
15,EVENT 5 END,,2013/05/02 09:43:16.867,Variant 7,7,,,,
51,Start,,2013/05/06 12:56:26.035,Variant 1,1,,,,
51,Validate username,,2013/05/06 12:56:43.342,Variant 1,1,,,,true
51,Set attempts counter to 0,,2013/05/06 12:56:47.345,Variant 1,1,,,,
51,Validate password,,2013/05/06 12:57:16.628,Variant 1,1,,,true,
51,EVENT 5 END,,2013/05/06 12:57:16.628,Variant 1,1,,,,
87,Start,,2013/05/09 08:33:48.805,Variant 1,1,,,,
87,Validate username,,2013/05/09 08:34:44.266,Variant 1,1,,,,true
87,Set attempts counter to 0,,2013/05/09 08:34:55.590,Variant 1,1,,,,
87,Validate password,,2013/05/09 08:35:37.449,Variant 1,1,,,true,
87,EVENT 5 END,,2013/05/09 08:35:37.449,Variant 1,1,,,,
95,Start,,2013/05/09 15:31:04.065,Variant 3,3,,,,
95,Validate username,,2013/05/09 15:31:28.798,Variant 3,3,,,,true
95,Set attempts counter to 0,,2013/05/09 15:31:52.868,Variant 3,3,,,,
95,Validate password,,2013/05/09 15:33:04.398,Variant 3,3,,,false,
95,Increment attempts counter,,2013/05/09 15:33:09.766,Variant 3,3,1,,,
95,Test server,,2013/05/09 15:33:09.766,Variant 3,3,,true,,
95,Validate password,,2013/05/09 15:33:38.727,Variant 3,3,,,true,
95,EVENT 5 END,,2013/05/09 15:33:38.727,Variant 3,3,,,,
46,Start,,2013/05/06 08:30:06.382,Variant 3,3,,,,
46,Validate username,,2013/05/06 08:30:10.097,Variant 3,3,,,,true
46,Set attempts counter to 0,,2013/05/06 08:31:45.268,Variant 3,3,,,,
46,Validate password,,2013/05/06 08:32:04.050,Variant 3,3,,,false,
46,Increment attempts counter,,2013/05/06 08:32:20.148,Variant 3,3,1,,,
46,Test server,,2013/05/06 08:32:20.148,Variant 3,3,,true,,
46,Validate password,,2013/05/06 08:33:09.540,Variant 3,3,,,true,
46,EVENT 5 END,,2013/05/06 08:39:50.412,Variant 3,3,,,,
79,Start,,2013/05/08 10:24:54.974,Variant 2,2,,,,
79,Validate username,,2013/05/08 10:25:10.042,Variant 2,2,,,,false
79,Log invalid username,,2013/05/08 10:25:30.968,Variant 2,2,,,,
79,EVENT 5 END,,2013/05/08 10:25:30.968,Variant 2,2,,,,
20,Start,,2013/05/02 11:00:33.912,Variant 1,1,,,,
20,Validate username,,2013/05/02 11:00:48.908,Variant 1,1,,,,true
20,Set attempts counter to 0,,2013/05/02 11:01:34.605,Variant 1,1,,,,
20,Validate password,,2013/05/02 11:02:07.556,Variant 1,1,,,true,
20,EVENT 5 END,,2013/05/02 11:02:07.556,Variant 1,1,,,,
7,Start,,2013/05/01 15:08:18.066,Variant 3,3,,,,
7,Validate username,,2013/05/01 15:10:42.800,Variant 3,3,,,,true
7,Set attempts counter to 0,,2013/05/01 15:10:59.222,Variant 3,3,,,,
7,Validate password,,2013/05/01 15:11:36.924,Variant 3,3,,,false,
7,Increment attempts counter,,2013/05/01 15:11:38.844,Variant 3,3,1,,,
7,Test server,,2013/05/01 15:12:20.148,Variant 3,3,,true,,
7,Validate password,,2013/05/01 15:13:09.540,Variant 3,3,,,true,
7,EVENT 5 END,,2013/05/01 15:16:01.474,Variant 3,3,,,,
88,Start,,2013/05/09 10:48:59.698,Variant 1,1,,,,
88,Validate username,,2013/05/09 10:49:17.691,Variant 1,1,,,,true
88,Set attempts counter to 0,,2013/05/09 10:49:53.909,Variant 1,1,,,,
88,Validate password,,2013/05/09 10:50:06.219,Variant 1,1,,,true,
88,EVENT 5 END,,2013/05/09 10:50:06.219,Variant 1,1,,,,
19,Start,,2013/05/02 10:52:12.616,Variant 6,6,,,,
19,Validate username,,2013/05/02 10:53:59.722,Variant 6,6,,,,true
19,Set attempts counter to 0,,2013/05/02 10:54:50.019,Variant 6,6,,,,
19,Validate password,,2013/05/02 10:55:19.403,Variant 6,6,,,false,
19,Increment attempts counter,,2013/05/02 10:56:49.206,Variant 6,6,1,,,
19,Test server,,2013/05/02 10:56:49.206,Variant 6,6,,true,,
19,Validate password,,2013/05/02 10:56:50.403,Variant 6,6,,,false,
19,Increment attempts counter,,2013/05/02 10:56:52.535,Variant 6,6,2,,,
19,Freeze bank account,,2013/05/02 11:01:42.498,Variant 6,6,,,,
19,EVENT 5 END,,2013/05/02 11:01:42.498,Variant 6,6,,,,
83,Start,,2013/05/08 13:44:09.210,Variant 1,1,,,,
83,Validate username,,2013/05/08 13:44:12.212,Variant 1,1,,,,true
83,Set attempts counter to 0,,2013/05/08 13:44:14.290,Variant 1,1,,,,
83,Validate password,,2013/05/08 13:44:23.697,Variant 1,1,,,true,
83,EVENT 5 END,,2013/05/08 13:44:23.697,Variant 1,1,,,,
97,Start,,2013/05/09 15:54:45.784,Variant 6,6,,,,
97,Validate username,,2013/05/09 15:54:52.431,Variant 6,6,,,,true
97,Set attempts counter to 0,,2013/05/09 15:54:59.128,Variant 6,6,,,,
97,Validate password,,2013/05/09 15:55:04.743,Variant 6,6,,,false,
97,Increment attempts counter,,2013/05/09 15:56:21.205,Variant 6,6,1,,,
97,Test server,,2013/05/09 15:56:49.206,Variant 6,6,,true,,
97,Validate password,,2013/05/09 15:56:50.403,Variant 6,6,,,false,
97,Increment attempts counter,,2013/05/09 15:56:52.535,Variant 6,6,2,,,
97,Freeze bank account,,2013/05/09 16:56:27.421,Variant 6,6,,,,
97,EVENT 5 END,,2013/05/09 16:56:27.421,Variant 6,6,,,,
33,Start,,2013/05/03 11:59:38.697,Variant 3,3,,,,
33,Validate username,,2013/05/03 12:00:03.777,Variant 3,3,,,,true
33,Set attempts counter to 0,,2013/05/03 12:02:32.384,Variant 3,3,,,,
33,Validate password,,2013/05/03 12:02:44.454,Variant 3,3,,,false,
33,Increment attempts counter,,2013/05/03 12:03:06.496,Variant 3,3,1,,,
33,Test server,,2013/05/03 12:03:06.496,Variant 3,3,,true,,
33,Validate password,,2013/05/03 12:03:15.749,Variant 3,3,,,true,
33,EVENT 5 END,,2013/05/03 12:05:58.531,Variant 3,3,,,,
35,Start,,2013/05/03 13:26:59.561,Variant 5,5,,,,
35,Validate username,,2013/05/03 13:27:01.131,Variant 5,5,,,,true
35,Set attempts counter to 0,,2013/05/03 13:27:25.653,Variant 5,5,,,,
35,Validate password,,2013/05/03 13:27:49.817,Variant 5,5,,,false,
35,Increment attempts counter,,2013/05/03 13:28:12.786,Variant 5,5,1,,,
35,Test server,,2013/05/03 13:28:12.786,Variant 5,5,,true,,
35,Validate password,,2013/05/03 13:28:31.141,Variant 5,5,,,false,
35,Increment attempts counter,,2013/05/03 13:28:40.532,Variant 5,5,2,,,
35,Test server,,2013/05/03 13:28:40.532,Variant 5,5,,true,,
35,Validate password,,2013/05/03 13:30:35.679,Variant 5,5,,,true,
35,EVENT 5 END,,2013/05/03 13:30:35.679,Variant 5,5,,,,
74,Start,,2013/05/07 15:11:04.014,Variant 3,3,,,,
74,Validate username,,2013/05/07 15:11:45.922,Variant 3,3,,,,true
74,Set attempts counter to 0,,2013/05/07 15:13:28.063,Variant 3,3,,,,
74,Validate password,,2013/05/07 15:13:53.625,Variant 3,3,,,false,
74,Increment attempts counter,,2013/05/07 15:14:46.682,Variant 3,3,1,,,
74,Test server,,2013/05/07 15:15:06.496,Variant 3,3,,true,,
74,Validate password,,2013/05/07 15:15:15.749,Variant 3,3,,,true,
74,EVENT 5 END,,2013/05/07 15:18:12.823,Variant 3,3,,,,
65,Start,,2013/05/07 11:21:42.997,Variant 6,6,,,,
65,Validate username,,2013/05/07 11:21:57.134,Variant 6,6,,,,true
65,Set attempts counter to 0,,2013/05/07 11:22:30.833,Variant 6,6,,,,
65,Validate password,,2013/05/07 11:23:52.181,Variant 6,6,,,false,
65,Increment attempts counter,,2013/05/07 11:23:52.714,Variant 6,6,1,,,
65,Test server,,2013/05/07 11:23:52.714,Variant 6,6,,true,,
65,Validate password,,2013/05/07 11:24:19.403,Variant 6,6,,,false,
65,Increment attempts counter,,2013/05/07 11:25:03.782,Variant 6,6,2,,,
65,Freeze bank account,,2013/05/07 11:25:36.649,Variant 6,6,,,,
65,EVENT 5 END,,2013/05/07 11:25:36.649,Variant 6,6,,,,
58,Start,,2013/05/07 08:33:57.806,Variant 6,6,,,,
58,Validate username,,2013/05/07 08:34:26.557,Variant 6,6,,,,true
58,Set attempts counter to 0,,2013/05/07 08:35:16.582,Variant 6,6,,,,
58,Validate password,,2013/05/07 08:37:07.204,Variant 6,6,,,false,
58,Increment attempts counter,,2013/05/07 08:37:14.245,Variant 6,6,1,,,
58,Test server,,2013/05/07 08:37:52.714,Variant 6,6,,true,,
58,Validate password,,2013/05/07 08:37:55.403,Variant 6,6,,,false,
58,Increment attempts counter,,2013/05/07 08:38:03.782,Variant 6,6,2,,,
58,Freeze bank account,,2013/05/07 08:38:45.370,Variant 6,6,,,,
58,EVENT 5 END,,2013/05/07 08:38:45.370,Variant 6,6,,,,
8,Start,,2013/05/01 15:31:09.736,Variant 1,1,,,,
8,Validate username,,2013/05/01 15:32:05.933,Variant 1,1,,,,true
8,Set attempts counter to 0,,2013/05/01 15:33:28.304,Variant 1,1,,,,
8,Validate password,,2013/05/01 15:33:39.243,Variant 1,1,,,true,
8,EVENT 5 END,,2013/05/01 15:33:39.243,Variant 1,1,,,,
76,Start,,2013/05/08 08:13:54.731,Variant 2,2,,,,
76,Validate username,,2013/05/08 08:14:20.687,Variant 2,2,,,,false
76,Log invalid username,,2013/05/08 08:14:25.766,Variant 2,2,,,,
76,EVENT 5 END,,2013/05/08 08:14:25.766,Variant 2,2,,,,
62,Start,,2013/05/07 09:57:50.553,Variant 5,5,,,,
62,Validate username,,2013/05/07 09:58:18.867,Variant 5,5,,,,true
62,Set attempts counter to 0,,2013/05/07 09:58:49.030,Variant 5,5,,,,
62,Validate password,,2013/05/07 09:58:59.861,Variant 5,5,,,false,
62,Increment attempts counter,,2013/05/07 09:59:16.080,Variant 5,5,1,,,
62,Test server,,2013/05/07 09:59:16.080,Variant 5,5,,true,,
62,Validate password,,2013/05/07 09:59:35.234,Variant 5,5,,,false,
62,Increment attempts counter,,2013/05/07 09:59:49.567,Variant 5,5,2,,,
62,Test server,,2013/05/07 09:59:49.567,Variant 5,5,,true,,
62,Validate password,,2013/05/07 10:00:03.097,Variant 5,5,,,true,
62,EVENT 5 END,,2013/05/07 10:00:03.097,Variant 5,5,,,,
17,Start,,2013/05/02 09:55:08.729,Variant 7,7,,,,
17,Validate username,,2013/05/02 09:55:26.443,Variant 7,7,,,,true
17,Set attempts counter to 0,,2013/05/02 09:55:28.478,Variant 7,7,,,,
17,Validate password,,2013/05/02 09:55:36.933,Variant 7,7,,,false,
17,Increment attempts counter,,2013/05/02 09:56:14.404,Variant 7,7,1,,,
17,Test server,,2013/05/02 09:56:14.404,Variant 7,7,,false,,
17,Increment attempts counter,,2013/05/02 09:59:13.471,Variant 7,7,2,,,
17,Test server,,2013/05/02 09:59:13.471,Variant 7,7,,true,,
17,Validate password,,2013/05/02 10:00:41.457,Variant 7,7,,,true,
17,EVENT 5 END,,2013/05/02 10:00:41.457,Variant 7,7,,,,
85,Start,,2013/05/08 15:32:35.943,Variant 1,1,,,,
85,Validate username,,2013/05/08 15:32:44.862,Variant 1,1,,,,true
85,Set attempts counter to 0,,2013/05/08 15:32:54.879,Variant 1,1,,,,
85,Validate password,,2013/05/08 15:35:43.379,Variant 1,1,,,true,
85,EVENT 5 END,,2013/05/08 15:35:43.379,Variant 1,1,,,,
29,Start,,2013/05/03 10:43:46.705,Variant 4,4,,,,
29,Validate username,,2013/05/03 10:43:48.568,Variant 4,4,,,,true
29,Set attempts counter to 0,,2013/05/03 10:44:16.702,Variant 4,4,,,,
29,Validate password,,2013/05/03 10:44:42.287,Variant 4,4,,,false,
29,Increment attempts counter,,2013/05/03 10:46:07.994,Variant 4,4,1,,,
29,Test server,,2013/05/03 10:47:52.714,Variant 4,4,,false,,
29,Increment attempts counter,,2013/05/03 10:48:03.782,Variant 4,4,2,,,
29,Freeze bank account,,2013/05/03 10:49:09.952,Variant 4,4,,,,
29,EVENT 5 END,,2013/05/03 10:49:09.952,Variant 4,4,,,,
24,Start,,2013/05/02 14:29:55.393,Variant 4,4,,,,
24,Validate username,,2013/05/02 14:32:43.489,Variant 4,4,,,,true
24,Set attempts counter to 0,,2013/05/02 14:33:43.372,Variant 4,4,,,,
24,Validate password,,2013/05/02 14:34:33.487,Variant 4,4,,,false,
24,Increment attempts counter,,2013/05/02 14:35:01.079,Variant 4,4,1,,,
24,Test server,,2013/05/02 14:47:52.714,Variant 4,4,,false,,
24,Increment attempts counter,,2013/05/02 14:48:03.782,Variant 4,4,2,,,
24,Freeze bank account,,2013/05/02 15:37:03.306,Variant 4,4,,,,
24,EVENT 5 END,,2013/05/02 15:37:03.306,Variant 4,4,,,,
82,Start,,2013/05/08 13:36:44.377,Variant 4,4,,,,
82,Validate username,,2013/05/08 13:37:47.212,Variant 4,4,,,,true
82,Set attempts counter to 0,,2013/05/08 13:38:47.901,Variant 4,4,,,,
82,Validate password,,2013/05/08 13:38:55.487,Variant 4,4,,,false,
82,Increment attempts counter,,2013/05/08 13:39:04.016,Variant 4,4,1,,,
82,Test server,,2013/05/08 13:47:52.714,Variant 4,4,,false,,
82,Increment attempts counter,,2013/05/08 13:48:03.782,Variant 4,4,2,,,
82,Freeze bank account,,2013/05/08 14:39:07.555,Variant 4,4,,,,
82,EVENT 5 END,,2013/05/08 14:39:07.555,Variant 4,4,,,,
72,Start,,2013/05/07 14:42:56.387,Variant 3,3,,,,
72,Validate username,,2013/05/07 14:43:05.066,Variant 3,3,,,,true
72,Set attempts counter to 0,,2013/05/07 14:43:15.911,Variant 3,3,,,,
72,Validate password,,2013/05/07 14:43:17.298,Variant 3,3,,,false,
72,Increment attempts counter,,2013/05/07 14:44:20.144,Variant 3,3,1,,,
72,Test server,,2013/05/07 14:44:20.144,Variant 3,3,,true,,
72,Validate password,,2013/05/07 14:45:30.984,Variant 3,3,,,true,
72,EVENT 5 END,,2013/05/07 14:48:21.849,Variant 3,3,,,,
90,Start,,2013/05/09 12:02:07.091,Variant 1,1,,,,
90,Validate username,,2013/05/09 12:02:09.752,Variant 1,1,,,,true
90,Set attempts counter to 0,,2013/05/09 12:02:23.110,Variant 1,1,,,,
90,Validate password,,2013/05/09 12:03:12.200,Variant 1,1,,,true,
90,EVENT 5 END,,2013/05/09 12:03:12.200,Variant 1,1,,,,
11,Start,,2013/05/01 15:57:43.294,Variant 3,3,,,,
11,Validate username,,2013/05/01 15:58:36.056,Variant 3,3,,,,true
11,Set attempts counter to 0,,2013/05/02 08:00:34.934,Variant 3,3,,,,
11,Validate password,,2013/05/02 08:01:01.574,Variant 3,3,,,false,
11,Increment attempts counter,,2013/05/02 08:01:25.226,Variant 3,3,1,,,
11,Test server,,2013/05/02 08:01:25.226,Variant 3,3,,true,,
11,Validate password,,2013/05/02 08:01:35.718,Variant 3,3,,,true,
11,EVENT 5 END,,2013/05/02 08:02:46.987,Variant 3,3,,,,
57,Start,,2013/05/06 15:43:53.202,Variant 1,1,,,,
57,Validate username,,2013/05/06 15:44:37.862,Variant 1,1,,,,true
57,Set attempts counter to 0,,2013/05/06 15:45:25.866,Variant 1,1,,,,
57,Validate password,,2013/05/06 15:45:36.733,Variant 1,1,,,true,
57,EVENT 5 END,,2013/05/06 15:45:36.733,Variant 1,1,,,,
63,Start,,2013/05/07 10:06:46.543,Variant 2,2,,,,
63,Validate username,,2013/05/07 10:07:06.178,Variant 2,2,,,,false
63,Log invalid username,,2013/05/07 10:07:50.009,Variant 2,2,,,,
63,EVENT 5 END,,2013/05/07 10:07:50.009,Variant 2,2,,,,
78,Start,,2013/05/08 10:06:47.469,Variant 2,2,,,,
78,Validate username,,2013/05/08 10:07:25.441,Variant 2,2,,,,false
78,Log invalid username,,2013/05/08 10:08:06.822,Variant 2,2,,,,
78,EVENT 5 END,,2013/05/08 10:08:06.822,Variant 2,2,,,,
48,Start,,2013/05/06 09:17:46.311,Variant 1,1,,,,
48,Validate username,,2013/05/06 09:18:02.927,Variant 1,1,,,,true
48,Set attempts counter to 0,,2013/05/06 09:20:19.840,Variant 1,1,,,,
48,Validate password,,2013/05/06 09:22:23.780,Variant 1,1,,,true,
48,EVENT 5 END,,2013/05/06 09:22:23.780,Variant 1,1,,,,
36,Start,,2013/05/03 13:53:42.423,Variant 1,1,,,,
36,Validate username,,2013/05/03 13:53:45.065,Variant 1,1,,,,true
36,Set attempts counter to 0,,2013/05/03 13:54:13.876,Variant 1,1,,,,
36,Validate password,,2013/05/03 13:54:35.189,Variant 1,1,,,true,
36,EVENT 5 END,,2013/05/03 13:54:35.189,Variant 1,1,,,,
13,Start,,2013/05/02 08:12:44.302,Variant 1,1,,,,
13,Validate username,,2013/05/02 08:12:52.760,Variant 1,1,,,,true
13,Set attempts counter to 0,,2013/05/02 08:13:42.064,Variant 1,1,,,,
13,Validate password,,2013/05/02 08:13:43.080,Variant 1,1,,,true,
13,EVENT 5 END,,2013/05/02 08:13:43.080,Variant 1,1,,,,
3,Start,,2013/05/01 12:42:07.340,Variant 1,1,,,,
3,Validate username,,2013/05/01 12:42:16.811,Variant 1,1,,,,true
3,Set attempts counter to 0,,2013/05/01 12:42:31.706,Variant 1,1,,,,
3,Validate password,,2013/05/01 12:42:37.665,Variant 1,1,,,true,
3,EVENT 5 END,,2013/05/01 12:43:00.691,Variant 1,1,,,,
40,Start,,2013/05/03 14:41:01.910,Variant 1,1,,,,
40,Validate username,,2013/05/03 14:41:20.439,Variant 1,1,,,,true
40,Set attempts counter to 0,,2013/05/03 14:41:50.173,Variant 1,1,,,,
40,Validate password,,2013/05/03 14:42:15.170,Variant 1,1,,,true,
40,EVENT 5 END,,2013/05/03 14:42:15.170,Variant 1,1,,,,
93,Start,,2013/05/09 14:41:29.696,Variant 3,3,,,,
93,Validate username,,2013/05/09 14:42:54.431,Variant 3,3,,,,true
93,Set attempts counter to 0,,2013/05/09 14:42:57.985,Variant 3,3,,,,
93,Validate password,,2013/05/09 14:44:38.255,Variant 3,3,,,false,
93,Increment attempts counter,,2013/05/09 14:44:38.377,Variant 3,3,1,,,
93,Test server,,2013/05/09 14:44:38.377,Variant 3,3,,true,,
93,Validate password,,2013/05/09 14:44:44.815,Variant 3,3,,,true,
93,EVENT 5 END,,2013/05/09 14:44:44.815,Variant 3,3,,,,
81,Start,,2013/05/08 11:22:38.923,Variant 2,2,,,,
81,Validate username,,2013/05/08 11:24:13.677,Variant 2,2,,,,false
81,Log invalid username,,2013/05/08 11:24:35.868,Variant 2,2,,,,
81,EVENT 5 END,,2013/05/08 11:24:35.868,Variant 2,2,,,,
37,Start,,2013/05/03 14:21:07.522,Variant 7,7,,,,
37,Validate username,,2013/05/03 14:21:58.186,Variant 7,7,,,,true
37,Set attempts counter to 0,,2013/05/03 14:22:12.357,Variant 7,7,,,,
37,Validate password,,2013/05/03 14:22:13.917,Variant 7,7,,,false,
37,Increment attempts counter,,2013/05/03 14:22:43.510,Variant 7,7,1,,,
37,Test server,,2013/05/03 14:22:43.510,Variant 7,7,,false,,
37,Increment attempts counter,,2013/05/03 14:23:30.301,Variant 7,7,2,,,
37,Test server,,2013/05/03 14:23:30.301,Variant 7,7,,true,,
37,Validate password,,2013/05/03 14:24:01.692,Variant 7,7,,,true,
37,EVENT 5 END,,2013/05/03 14:24:01.692,Variant 7,7,,,,
52,Start,,2013/05/06 13:33:37.506,Variant 1,1,,,,
52,Validate username,,2013/05/06 13:33:56.398,Variant 1,1,,,,true
52,Set attempts counter to 0,,2013/05/06 13:35:31.536,Variant 1,1,,,,
52,Validate password,,2013/05/06 13:35:47.004,Variant 1,1,,,true,
52,EVENT 5 END,,2013/05/06 13:35:47.004,Variant 1,1,,,,
89,Start,,2013/05/09 11:55:20.397,Variant 3,3,,,,
89,Validate username,,2013/05/09 11:55:39.165,Variant 3,3,,,,true
89,Set attempts counter to 0,,2013/05/09 11:56:37.396,Variant 3,3,,,,
89,Validate password,,2013/05/09 11:56:46.298,Variant 3,3,,,false,
89,Increment attempts counter,,2013/05/09 11:57:01.473,Variant 3,3,1,,,
89,Test server,,2013/05/09 11:57:01.473,Variant 3,3,,true,,
89,Validate password,,2013/05/09 11:57:22.968,Variant 3,3,,,true,
89,EVENT 5 END,,2013/05/09 11:57:22.968,Variant 3,3,,,,
25,Start,,2013/05/02 14:32:59.866,Variant 1,1,,,,
25,Validate username,,2013/05/02 14:34:12.969,Variant 1,1,,,,true
25,Set attempts counter to 0,,2013/05/02 14:34:39.515,Variant 1,1,,,,
25,Validate password,,2013/05/02 14:35:47.998,Variant 1,1,,,true,
25,EVENT 5 END,,2013/05/02 14:35:47.998,Variant 1,1,,,,
4,Start,,2013/05/01 13:12:10.829,Variant 1,1,,,,
4,Validate username,,2013/05/01 13:12:25.129,Variant 1,1,,,,true
4,Set attempts counter to 0,,2013/05/01 13:13:55.599,Variant 1,1,,,,
4,Validate password,,2013/05/01 13:14:22.384,Variant 1,1,,,true,
4,EVENT 5 END,,2013/05/01 13:14:22.384,Variant 1,1,,,,
39,Start,,2013/05/03 14:36:07.005,Variant 4,4,,,,
39,Validate username,,2013/05/03 14:36:36.452,Variant 4,4,,,,true
39,Set attempts counter to 0,,2013/05/03 14:37:31.029,Variant 4,4,,,,
39,Validate password,,2013/05/03 14:38:26.243,Variant 4,4,,,false,
39,Increment attempts counter,,2013/05/03 14:38:38.430,Variant 4,4,1,,,
39,Test server,,2013/05/03 14:38:38.430,Variant 4,4,,false,,
39,Increment attempts counter,,2013/05/03 14:38:44.107,Variant 4,4,2,,,
